number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.369,2026-02-06 12:22:05.076613,2026-02-06 12:22:10.609181,0 days 00:00:05.532568,0.0005540787181959424,0.29906492346663033,0.5667307354674672,0.9804842650657684,COMPLETE
1,0.366,2026-02-06 12:22:10.615199,2026-02-06 12:22:16.161102,0 days 00:00:05.545903,0.0007024446930675156,0.21380681967874882,0.9611739908983166,0.7652765889409965,COMPLETE
2,0.368,2026-02-06 12:22:16.167109,2026-02-06 12:22:21.788986,0 days 00:00:05.621877,1.1805044672163632e-05,0.5504493372999818,0.9841432051471486,0.9506935772812977,COMPLETE
3,0.374,2026-02-06 12:22:21.794805,2026-02-06 12:22:27.307771,0 days 00:00:05.512966,3.981601936422029e-05,0.08286220689583033,0.6945673385505928,0.9665499216747562,COMPLETE
4,0.372,2026-02-06 12:22:27.314313,2026-02-06 12:22:32.942980,0 days 00:00:05.628667,0.0006542612344132976,0.07950613204895789,0.94315233304328,0.7187332635867694,COMPLETE
5,0.349,2026-02-06 12:22:32.948463,2026-02-06 12:22:38.504477,0 days 00:00:05.556014,1.4222421260364838e-05,0.07945164678132363,0.8305587557540497,0.715729238886451,COMPLETE
6,0.365,2026-02-06 12:22:38.509660,2026-02-06 12:22:44.098877,0 days 00:00:05.589217,1.3179186279248918e-05,0.3743010458843335,0.6236993777695768,0.5194116060639636,COMPLETE
7,0.35,2026-02-06 12:22:44.104888,2026-02-06 12:22:49.633750,0 days 00:00:05.528862,0.0006253522466352017,0.05965408827883254,0.9538664787425197,0.8625431197362594,COMPLETE
8,0.369,2026-02-06 12:22:49.638738,2026-02-06 12:22:55.147551,0 days 00:00:05.508813,0.0009906597145736683,0.34933659844403514,0.7644699645154416,0.6491787185302154,COMPLETE
9,0.346,2026-02-06 12:22:55.153047,2026-02-06 12:23:00.762550,0 days 00:00:05.609503,0.0009100261217713625,0.14243475460057006,0.7353244746069547,0.6853401357124963,COMPLETE
10,0.365,2026-02-06 12:23:00.767502,2026-02-06 12:23:06.381158,0 days 00:00:05.613656,5.2154290489425506e-05,0.136561146738088,0.6576314659790136,0.8418382206860925,COMPLETE
11,0.364,2026-02-06 12:23:06.385892,2026-02-06 12:23:11.976726,0 days 00:00:05.590834,0.00014219118181278947,0.09402682044689227,0.8467401072478723,0.591565505864949,COMPLETE
12,0.377,2026-02-06 12:23:11.982743,2026-02-06 12:23:17.660585,0 days 00:00:05.677842,6.5274659479474e-05,0.061072170793748645,0.5134353331411502,0.7937809383456412,COMPLETE
13,0.385,2026-02-06 12:23:17.665490,2026-02-06 12:23:23.396720,0 days 00:00:05.731230,4.823522799085151e-05,0.056712469704817116,0.5059732822397945,0.882307247345247,COMPLETE
14,0.382,2026-02-06 12:23:23.401822,2026-02-06 12:23:29.083119,0 days 00:00:05.681297,0.0001376285861294785,0.05211279198834611,0.5067877977914186,0.8214651447459385,COMPLETE
15,0.386,2026-02-06 12:23:29.088007,2026-02-06 12:23:34.631758,0 days 00:00:05.543751,0.00018425430748452668,0.051043116300799676,0.5037295261066561,0.888981100926355,COMPLETE
16,0.353,2026-02-06 12:23:34.636597,2026-02-06 12:23:40.119858,0 days 00:00:05.483261,0.00026048811710446904,0.12157797982402838,0.5841382272087505,0.8917106058940812,COMPLETE
17,0.375,2026-02-06 12:23:40.124664,2026-02-06 12:23:45.791012,0 days 00:00:05.666348,0.0002322607732081386,0.1972115199055389,0.5670877863084233,0.9200960325335779,COMPLETE
18,0.371,2026-02-06 12:23:45.793630,2026-02-06 12:23:51.241852,0 days 00:00:05.448222,3.2256971867321745e-05,0.7138793120620459,0.5009506968598725,0.9038831296393588,COMPLETE
19,0.368,2026-02-06 12:23:51.244727,2026-02-06 12:23:57.172850,0 days 00:00:05.928123,2.7918770737947927e-05,0.10292419511250556,0.6425498023383939,0.7860895762250982,COMPLETE
20,0.358,2026-02-06 12:23:57.175563,2026-02-06 12:24:02.789286,0 days 00:00:05.613723,8.832149333412675e-05,0.1900130319630537,0.5967677105042491,0.8472436707346149,COMPLETE
21,0.366,2026-02-06 12:24:02.795564,2026-02-06 12:24:08.420221,0 days 00:00:05.624657,0.00015103268607325528,0.058426948567438006,0.5360775287895732,0.8192552800545522,COMPLETE
22,0.383,2026-02-06 12:24:08.426290,2026-02-06 12:24:14.077353,0 days 00:00:05.651063,0.00033454166783403904,0.05089297408005454,0.503975190841487,0.8861128638301061,COMPLETE
23,0.365,2026-02-06 12:24:14.083881,2026-02-06 12:24:19.691315,0 days 00:00:05.607434,0.0003190859086149256,0.05216059208751553,0.5478704960684224,0.8845294256594961,COMPLETE
24,0.368,2026-02-06 12:24:19.697321,2026-02-06 12:24:25.298986,0 days 00:00:05.601665,0.0004352857689135074,0.06989782715864457,0.5906919941777884,0.9251114055049037,COMPLETE
25,0.383,2026-02-06 12:24:25.304402,2026-02-06 12:24:30.854723,0 days 00:00:05.550321,0.00019098694263028354,0.0694566985311456,0.5433797201284415,0.9500410369210087,COMPLETE
