number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.8409166666666666,2026-02-03 01:57:39.725510,2026-02-03 01:58:01.991991,0 days 00:00:22.266481,6.838687356454331e-05,0.061366434161646576,0.6463970157202594,0.5746538057869879,COMPLETE
1,0.85875,2026-02-03 01:58:01.999195,2026-02-03 01:58:25.135818,0 days 00:00:23.136623,0.0006176917040796171,0.07307585217369153,0.8020589020104409,0.6875759489873485,COMPLETE
2,0.8578333333333333,2026-02-03 01:58:25.140962,2026-02-03 01:58:47.370992,0 days 00:00:22.230030,0.00015291878457879168,0.8200041426329367,0.7734424508347111,0.6346635492351224,COMPLETE
3,0.86625,2026-02-03 01:58:47.372866,2026-02-03 01:59:10.404323,0 days 00:00:23.031457,3.493860293837348e-05,0.6678049438944129,0.7033666729178741,0.7705183555790658,COMPLETE
4,0.8529166666666667,2026-02-03 01:59:10.411890,2026-02-03 01:59:32.014377,0 days 00:00:21.602487,0.00010273839283439864,0.1864990065569961,0.7008567676897993,0.6217225978906558,COMPLETE
5,0.8499166666666667,2026-02-03 01:59:32.019715,2026-02-03 01:59:53.677021,0 days 00:00:21.657306,0.0003170954759010495,0.12262598850215352,0.6865174319403737,0.7572355167045894,COMPLETE
6,0.8666666666666667,2026-02-03 01:59:53.680546,2026-02-03 02:00:15.665866,0 days 00:00:21.985320,1.2513551691368924e-05,0.13110303825530242,0.9620793833103818,0.9225360879495921,COMPLETE
7,0.8465,2026-02-03 02:00:15.673473,2026-02-03 02:00:37.217035,0 days 00:00:21.543562,4.9768205094903065e-05,0.10407837219500472,0.723067756329601,0.5512676654838123,COMPLETE
8,0.8676666666666667,2026-02-03 02:00:37.224390,2026-02-03 02:00:59.075254,0 days 00:00:21.850864,0.00026366762388629325,0.42461377522113,0.8402572405714129,0.8049683699973424,COMPLETE
9,0.8578333333333333,2026-02-03 02:00:59.080479,2026-02-03 02:01:21.014146,0 days 00:00:21.933667,0.0005734156292282596,0.09040762785274,0.670849057432366,0.8313588163159569,COMPLETE
10,0.8815,2026-02-03 02:01:21.017087,2026-02-03 02:01:43.068782,0 days 00:00:22.051695,0.00020447637589683025,0.40318243933568576,0.9039716527705206,0.9897216706237029,COMPLETE
11,0.8709166666666667,2026-02-03 02:01:43.070803,2026-02-03 02:02:04.891726,0 days 00:00:21.820923,0.00021536563870663068,0.3833222313066329,0.8992619303631443,0.9701101160112846,COMPLETE
12,0.8649166666666667,2026-02-03 02:02:04.897993,2026-02-03 02:02:27.308499,0 days 00:00:22.410506,0.00020977803537476292,0.34855342436022857,0.930950299548947,0.9188565795702984,COMPLETE
13,0.8551666666666666,2026-02-03 02:02:27.314078,2026-02-03 02:02:49.984279,0 days 00:00:22.670201,0.00036776824109469616,0.3394094298177556,0.5115948831570827,0.9873874273454869,COMPLETE
