number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.3,2026-02-07 10:48:31.135747,2026-02-07 10:48:34.226105,0 days 00:00:03.090358,6.838687356454331e-05,0.061366434161646576,0.6463970157202594,0.5746538057869879,COMPLETE
1,0.302,2026-02-07 10:48:34.227781,2026-02-07 10:48:37.138537,0 days 00:00:02.910756,0.0006176917040796171,0.07307585217369153,0.8020589020104409,0.6875759489873485,COMPLETE
2,0.312,2026-02-07 10:48:37.140182,2026-02-07 10:48:40.315446,0 days 00:00:03.175264,0.00015291878457879168,0.8200041426329367,0.7734424508347111,0.6346635492351224,COMPLETE
3,0.318,2026-02-07 10:48:40.317065,2026-02-07 10:48:43.288163,0 days 00:00:02.971098,3.493860293837348e-05,0.6678049438944129,0.7033666729178741,0.7705183555790658,COMPLETE
4,0.309,2026-02-07 10:48:43.289461,2026-02-07 10:48:46.269187,0 days 00:00:02.979726,0.00010273839283439864,0.1864990065569961,0.7008567676897993,0.6217225978906558,COMPLETE
5,0.316,2026-02-07 10:48:46.270690,2026-02-07 10:48:49.290291,0 days 00:00:03.019601,0.0003170954759010495,0.12262598850215352,0.6865174319403737,0.7572355167045894,COMPLETE
6,0.349,2026-02-07 10:48:49.291961,2026-02-07 10:48:52.388228,0 days 00:00:03.096267,1.2513551691368924e-05,0.13110303825530242,0.9620793833103818,0.9225360879495921,COMPLETE
7,0.337,2026-02-07 10:48:52.389684,2026-02-07 10:48:55.419068,0 days 00:00:03.029384,4.9768205094903065e-05,0.10407837219500472,0.723067756329601,0.5512676654838123,COMPLETE
8,0.336,2026-02-07 10:48:55.420524,2026-02-07 10:48:58.467516,0 days 00:00:03.046992,0.00026366762388629325,0.42461377522113,0.8402572405714129,0.8049683699973424,COMPLETE
9,0.338,2026-02-07 10:48:58.469594,2026-02-07 10:49:01.483393,0 days 00:00:03.013799,0.0005734156292282596,0.09040762785274,0.670849057432366,0.8313588163159569,COMPLETE
10,0.338,2026-02-07 10:49:01.485115,2026-02-07 10:49:04.546760,0 days 00:00:03.061645,1.0431290328667083e-05,0.2735036437096704,0.9786696881404262,0.9897216706237029,COMPLETE
11,0.315,2026-02-07 10:49:04.548477,2026-02-07 10:49:07.597115,0 days 00:00:03.048638,1.3016407435269029e-05,0.1468462941160666,0.5099863831451663,0.9010933534250773,COMPLETE
12,0.338,2026-02-07 10:49:07.598842,2026-02-07 10:49:10.616941,0 days 00:00:03.018099,0.0007653747216887867,0.09444358822513371,0.9946627462318148,0.8744164629724627,COMPLETE
13,0.32,2026-02-07 10:49:10.618500,2026-02-07 10:49:13.625119,0 days 00:00:03.006619,2.163971441783091e-05,0.05130286894631542,0.8819574530319494,0.9844630723052417,COMPLETE
14,0.319,2026-02-07 10:49:13.626770,2026-02-07 10:49:16.651636,0 days 00:00:03.024866,0.00038043158282965734,0.2577518355583435,0.6010123198524321,0.8661084610923583,COMPLETE
15,0.33,2026-02-07 10:49:16.653270,2026-02-07 10:49:19.661905,0 days 00:00:03.008635,0.00015064426369807465,0.19342121991264846,0.9090045780835139,0.9225389740676279,COMPLETE
16,0.335,2026-02-07 10:49:19.664284,2026-02-07 10:49:22.681776,0 days 00:00:03.017492,2.5184570395148104e-05,0.08264519226397082,0.562922803439176,0.8262332300612502,COMPLETE
17,0.34,2026-02-07 10:49:22.683284,2026-02-07 10:49:25.676128,0 days 00:00:02.992844,0.0005472333192808734,0.14120029380015514,0.901459360332802,0.9369018686248578,COMPLETE
18,0.318,2026-02-07 10:49:25.677767,2026-02-07 10:49:28.696256,0 days 00:00:03.018489,0.0009510283920516802,0.401848766083169,0.9348409540554997,0.9368051222339414,COMPLETE
19,0.322,2026-02-07 10:49:28.698500,2026-02-07 10:49:31.707569,0 days 00:00:03.009069,0.000192326874891333,0.14547014137044115,0.8487566718913536,0.5034600477536753,COMPLETE
20,0.331,2026-02-07 10:49:31.710227,2026-02-07 10:49:35.025913,0 days 00:00:03.315686,8.933423991594035e-05,0.3492815752015377,0.9405254004094297,0.947120060366832,COMPLETE
21,0.318,2026-02-07 10:49:35.028139,2026-02-07 10:49:38.057607,0 days 00:00:03.029468,0.0005560551883148791,0.1282622064046653,0.775275664410171,0.8427025457121795,COMPLETE
22,0.324,2026-02-07 10:49:38.063031,2026-02-07 10:49:41.068727,0 days 00:00:03.005696,0.0004612882743401141,0.1628455201461978,0.8655821178159195,0.8915533515913386,COMPLETE
23,0.328,2026-02-07 10:49:41.071858,2026-02-07 10:49:44.164022,0 days 00:00:03.092164,0.00023100482042499675,0.10477761349348227,0.9597711668951648,0.8006326115677391,COMPLETE
24,0.324,2026-02-07 10:49:44.169110,2026-02-07 10:49:47.185992,0 days 00:00:03.016882,0.0008949006753213024,0.0739073047160628,0.6379831496336202,0.9524073455513572,COMPLETE
25,0.317,2026-02-07 10:49:47.190800,2026-02-07 10:49:50.149834,0 days 00:00:02.959034,0.0004146929843117727,0.243333734473251,0.9034234312023199,0.7132525715132696,COMPLETE
