number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.342,2026-02-06 11:26:30.338683,2026-02-06 11:26:34.854356,0 days 00:00:04.515673,8.200169760865733e-05,0.08587569554155682,0.9519919774641186,0.76646491553789,COMPLETE
1,0.336,2026-02-06 11:26:34.858198,2026-02-06 11:26:39.597074,0 days 00:00:04.738876,6.281316014413098e-05,0.6399887428176007,0.7293019808842929,0.8548421419396561,COMPLETE
2,0.357,2026-02-06 11:26:39.600598,2026-02-06 11:26:44.140381,0 days 00:00:04.539783,4.5231480496894864e-05,0.6820120910873967,0.8450125100956136,0.8428148065827532,COMPLETE
3,0.345,2026-02-06 11:26:44.144244,2026-02-06 11:26:48.700150,0 days 00:00:04.555906,2.0944868834396326e-05,0.4455879390014279,0.8180305277235707,0.6176099339560577,COMPLETE
4,0.328,2026-02-06 11:26:48.704080,2026-02-06 11:26:53.017022,0 days 00:00:04.312942,0.000152043665335206,0.4996412953206856,0.9795833015176112,0.724488025357421,COMPLETE
5,0.336,2026-02-06 11:26:53.020859,2026-02-06 11:26:57.383224,0 days 00:00:04.362365,0.00014174322966901186,0.5965483606777267,0.7286117266769285,0.9664184936480407,COMPLETE
6,0.346,2026-02-06 11:26:57.386618,2026-02-06 11:27:02.015751,0 days 00:00:04.629133,2.083669942211692e-05,0.5361130810422018,0.9544218592063691,0.8996066711965987,COMPLETE
7,0.335,2026-02-06 11:27:02.019958,2026-02-06 11:27:06.920737,0 days 00:00:04.900779,7.047977415894477e-05,0.30789945727950024,0.6992171293098386,0.5307293464914394,COMPLETE
8,0.33,2026-02-06 11:27:06.924378,2026-02-06 11:27:11.674844,0 days 00:00:04.750466,0.0008278762880025368,0.10560609913695296,0.9245191542142555,0.5163192670078811,COMPLETE
9,0.324,2026-02-06 11:27:11.678986,2026-02-06 11:27:16.487130,0 days 00:00:04.808144,2.3467382414601336e-05,0.13965444042337347,0.6783534452012714,0.5080009663150169,COMPLETE
10,0.333,2026-02-06 11:27:16.490490,2026-02-06 11:27:21.174983,0 days 00:00:04.684493,0.00042219867060478024,0.05322388363100409,0.5478549735962953,0.7698483678007499,COMPLETE
11,0.352,2026-02-06 11:27:21.176161,2026-02-06 11:27:26.077613,0 days 00:00:04.901452,1.1717437786092569e-05,0.861971182450027,0.858391747413221,0.91898923575029,COMPLETE
12,0.352,2026-02-06 11:27:26.081199,2026-02-06 11:27:31.038865,0 days 00:00:04.957666,1.0142733340309816e-05,0.8814557566582073,0.8380888499468796,0.9853181457950512,COMPLETE
13,0.337,2026-02-06 11:27:31.041143,2026-02-06 11:27:35.772573,0 days 00:00:04.731430,1.2488954687195031e-05,0.25228432473918555,0.8418856198710433,0.854047161427811,COMPLETE
14,0.352,2026-02-06 11:27:35.777464,2026-02-06 11:27:40.536522,0 days 00:00:04.759058,3.879523282480274e-05,0.8621880223590216,0.8681284273020635,0.9059573979546011,COMPLETE
15,0.356,2026-02-06 11:27:40.540864,2026-02-06 11:27:45.300237,0 days 00:00:04.759373,4.120564632992506e-05,0.2987595342934857,0.6135126162055549,0.8093967295667199,COMPLETE
16,0.342,2026-02-06 11:27:45.304853,2026-02-06 11:27:50.002776,0 days 00:00:04.697923,3.435164220704989e-05,0.3465125392348162,0.6039688075647348,0.6985141450265174,COMPLETE
17,0.343,2026-02-06 11:27:50.007851,2026-02-06 11:27:55.248928,0 days 00:00:05.241077,0.00022493927310455238,0.1916070959689132,0.6381627142137483,0.8159364482991928,COMPLETE
18,0.343,2026-02-06 11:27:55.253562,2026-02-06 11:28:00.461718,0 days 00:00:05.208156,4.94906802691766e-05,0.16899270059032637,0.5270805844708252,0.6461069510993469,COMPLETE
19,0.346,2026-02-06 11:28:00.464780,2026-02-06 11:28:05.445001,0 days 00:00:04.980221,0.00012094564775204192,0.32008346236821794,0.7821793894717295,0.804978531088152,COMPLETE
20,0.336,2026-02-06 11:28:05.447259,2026-02-06 11:28:10.149727,0 days 00:00:04.702468,3.4802382197515223e-05,0.3960013010449617,0.6233810814789577,0.6800038955900252,COMPLETE
21,0.339,2026-02-06 11:28:10.154462,2026-02-06 11:28:14.948854,0 days 00:00:04.794392,1.545809340773849e-05,0.682711680766791,0.8949510254267395,0.9195707537725137,COMPLETE
22,0.334,2026-02-06 11:28:14.953321,2026-02-06 11:28:19.779316,0 days 00:00:04.825995,2.7319341959672517e-05,0.7320012367852367,0.7950100952993334,0.8402439029059936,COMPLETE
23,0.357,2026-02-06 11:28:19.783896,2026-02-06 11:28:24.509790,0 days 00:00:04.725894,5.514002959268175e-05,0.25241536290046085,0.7644430952815756,0.9459680092363648,COMPLETE
24,0.357,2026-02-06 11:28:24.513954,2026-02-06 11:28:29.224427,0 days 00:00:04.710473,5.080085339595949e-05,0.2778627637303551,0.765925835582896,0.8740845960892383,COMPLETE
25,0.377,2026-02-06 11:28:29.226855,2026-02-06 11:28:33.923413,0 days 00:00:04.696558,0.00024522553232333126,0.23705509927986698,0.7657443207836434,0.9504065134052351,COMPLETE
26,0.349,2026-02-06 11:28:33.927328,2026-02-06 11:28:38.560580,0 days 00:00:04.633252,0.00026842471204137266,0.13580435991412074,0.7503395718318895,0.948820460976509,COMPLETE
27,0.34,2026-02-06 11:28:38.564949,2026-02-06 11:28:43.619183,0 days 00:00:05.054234,0.0004274870499854787,0.2253121522652602,0.6902190132310517,0.950971626662076,COMPLETE
