number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.37,2026-02-06 16:41:01.541181,2026-02-06 16:41:05.371966,0 days 00:00:03.830785,0.0005404613626296213,0.37534718880806706,0.7267713413390344,0.8538072437404705,COMPLETE
1,0.34,2026-02-06 16:41:05.373190,2026-02-06 16:41:09.095126,0 days 00:00:03.721936,5.247544485517223e-05,0.8385236724012751,0.9279016711963055,0.5057399012506509,COMPLETE
2,0.369,2026-02-06 16:41:09.096307,2026-02-06 16:41:13.110338,0 days 00:00:04.014031,1.2843280764272375e-05,0.4123890131697216,0.5858148386307203,0.7553079370400233,COMPLETE
3,0.37,2026-02-06 16:41:13.111885,2026-02-06 16:41:16.806073,0 days 00:00:03.694188,2.804460814106101e-05,0.08912922764942169,0.509260897230307,0.8889118746451361,COMPLETE
4,0.388,2026-02-06 16:41:16.807664,2026-02-06 16:41:20.390096,0 days 00:00:03.582432,1.1579181437349266e-05,0.13566895308738613,0.9640406467327954,0.845163056942531,COMPLETE
5,0.373,2026-02-06 16:41:20.391598,2026-02-06 16:41:24.079760,0 days 00:00:03.688162,2.9907880915878078e-05,0.08048335107257046,0.8107392007498817,0.7828420084160421,COMPLETE
6,0.382,2026-02-06 16:41:24.084563,2026-02-06 16:41:27.794318,0 days 00:00:03.709755,0.000151293389503169,0.7441545642178891,0.806982977982948,0.7624600734822296,COMPLETE
7,0.38,2026-02-06 16:41:27.799120,2026-02-06 16:41:31.502926,0 days 00:00:03.703806,2.6283760302962345e-05,0.4125457461408658,0.6559724977398009,0.695128320485885,COMPLETE
8,0.382,2026-02-06 16:41:31.507769,2026-02-06 16:41:35.241837,0 days 00:00:03.734068,9.570125151880811e-05,0.08564321562150168,0.9721861949919668,0.8623798895741509,COMPLETE
9,0.355,2026-02-06 16:41:35.246560,2026-02-06 16:41:39.004814,0 days 00:00:03.758254,7.393213555381204e-05,0.09648000872910821,0.6271782408851965,0.528434288558699,COMPLETE
10,0.385,2026-02-06 16:41:39.009323,2026-02-06 16:41:42.702306,0 days 00:00:03.692983,1.0573472717915022e-05,0.1671369912785507,0.8879760525301923,0.9843084139673648,COMPLETE
11,0.386,2026-02-06 16:41:42.704679,2026-02-06 16:41:46.754118,0 days 00:00:04.049439,1.0224235262019714e-05,0.17336070340538243,0.8933314037673634,0.9876042787538775,COMPLETE
12,0.379,2026-02-06 16:41:46.755732,2026-02-06 16:41:50.534342,0 days 00:00:03.778610,0.0002640592404482828,0.17064661978858556,0.9895867661632954,0.9777594836903883,COMPLETE
13,0.36,2026-02-06 16:41:50.539636,2026-02-06 16:41:54.267893,0 days 00:00:03.728257,1.6035078752649548e-05,0.052644019235794016,0.8725923220909781,0.6567345508482252,COMPLETE
14,0.383,2026-02-06 16:41:54.273157,2026-02-06 16:41:57.948341,0 days 00:00:03.675184,1.981445982941816e-05,0.23629420683753474,0.8225446926275951,0.928110071158612,COMPLETE
15,0.395,2026-02-06 16:41:57.953255,2026-02-06 16:42:01.825059,0 days 00:00:03.871804,4.2053831086711534e-05,0.23466777364945957,0.9292741613372966,0.8221050177773114,COMPLETE
16,0.373,2026-02-06 16:42:01.829926,2026-02-06 16:42:05.627375,0 days 00:00:03.797449,4.350089575954995e-05,0.2605774145927334,0.9981008929427791,0.7996248382326812,COMPLETE
17,0.376,2026-02-06 16:42:05.629361,2026-02-06 16:42:09.342670,0 days 00:00:03.713309,0.00016796211156041164,0.3049033919067039,0.7342545259171649,0.6840957286962893,COMPLETE
18,0.394,2026-02-06 16:42:09.347388,2026-02-06 16:42:13.079763,0 days 00:00:03.732375,0.0007044730006956389,0.13157247968361857,0.9062240241826579,0.5986114805916868,COMPLETE
19,0.363,2026-02-06 16:42:13.081270,2026-02-06 16:42:16.859016,0 days 00:00:03.777746,0.0008442612022636865,0.11984595773044002,0.853793011869721,0.5871543606418927,COMPLETE
20,0.379,2026-02-06 16:42:16.860466,2026-02-06 16:42:21.013915,0 days 00:00:04.153449,0.00039116275092016906,0.5563893826060055,0.9285839941977736,0.590585780955856,COMPLETE
21,0.391,2026-02-06 16:42:21.015634,2026-02-06 16:42:24.811330,0 days 00:00:03.795696,0.0009544638040149218,0.13169812588023905,0.936775620415642,0.8192866231775702,COMPLETE
22,0.377,2026-02-06 16:42:24.812874,2026-02-06 16:42:28.593808,0 days 00:00:03.780934,0.000895509601539327,0.05707772644268035,0.9299815852510946,0.8134655949056258,COMPLETE
23,0.384,2026-02-06 16:42:28.598644,2026-02-06 16:42:32.383331,0 days 00:00:03.784687,0.0005357141423711949,0.124615198970335,0.7787917271684164,0.6989456034365376,COMPLETE
24,0.377,2026-02-06 16:42:32.388520,2026-02-06 16:42:36.155006,0 days 00:00:03.766486,0.0002984204222274022,0.21885990802988295,0.926245352434915,0.6243508525250235,COMPLETE
25,0.393,2026-02-06 16:42:36.159940,2026-02-06 16:42:39.902230,0 days 00:00:03.742290,0.0006979738128615847,0.06801032759753056,0.9508820710627112,0.731934367162465,COMPLETE
26,0.39,2026-02-06 16:42:39.907191,2026-02-06 16:42:43.630832,0 days 00:00:03.723641,0.00017565834005190398,0.06834174849255453,0.8486142737900764,0.7407516501665122,COMPLETE
27,0.365,2026-02-06 16:42:43.633428,2026-02-06 16:42:46.209557,0 days 00:00:02.576129,0.0005958054423736285,0.10839005652087015,0.894261712894944,0.5637761280837432,COMPLETE
28,0.374,2026-02-06 16:42:46.212589,2026-02-06 16:42:48.676875,0 days 00:00:02.464286,4.8779347142107074e-05,0.0723699809124671,0.769567530196414,0.731474789742828,COMPLETE
29,0.352,2026-02-06 16:42:48.677917,2026-02-06 16:42:51.355016,0 days 00:00:02.677099,0.0005832638425689255,0.28170075827590046,0.6950717334083325,0.631802034121847,COMPLETE
