number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.352,2026-02-07 11:15:17.088576,2026-02-07 11:15:22.444620,0 days 00:00:05.356044,4.010488441039838e-05,0.10922075923207301,0.5657413996455638,0.5271334170063869,COMPLETE
1,0.341,2026-02-07 11:15:22.450848,2026-02-07 11:15:27.620173,0 days 00:00:05.169325,0.00024617893654965976,0.10665954094168816,0.7280702834002398,0.8348078544183635,COMPLETE
2,0.347,2026-02-07 11:15:27.625969,2026-02-07 11:15:32.899859,0 days 00:00:05.273890,0.0003776513352984672,0.11346539180654888,0.6899634779500603,0.5887639712510825,COMPLETE
3,0.362,2026-02-07 11:15:32.905227,2026-02-07 11:15:38.097331,0 days 00:00:05.192104,0.00035876917645617464,0.058929103162450376,0.8484986208624936,0.8815607440111406,COMPLETE
4,0.368,2026-02-07 11:15:38.103678,2026-02-07 11:15:43.254991,0 days 00:00:05.151313,3.512722195377898e-05,0.10583175950899974,0.6869065689662808,0.7879238212462306,COMPLETE
5,0.359,2026-02-07 11:15:43.256928,2026-02-07 11:15:48.522701,0 days 00:00:05.265773,1.2280741856456172e-05,0.14604655819566054,0.5985271400928198,0.7253293830404436,COMPLETE
6,0.372,2026-02-07 11:15:48.527983,2026-02-07 11:15:53.615694,0 days 00:00:05.087711,4.107903180178908e-05,0.5045820396203863,0.5384782234933163,0.7542292229274478,COMPLETE
7,0.347,2026-02-07 11:15:53.618544,2026-02-07 11:15:58.814898,0 days 00:00:05.196354,1.1768601884338305e-05,0.2654261994059396,0.9797166704167126,0.8163294197834419,COMPLETE
8,0.343,2026-02-07 11:15:58.819846,2026-02-07 11:16:03.986583,0 days 00:00:05.166737,0.0002305605615367579,0.17347717961018821,0.7550084261591251,0.7627269724046915,COMPLETE
9,0.369,2026-02-07 11:16:03.991715,2026-02-07 11:16:09.148742,0 days 00:00:05.157027,0.0008181095184874521,0.11153951541026007,0.5644302827331601,0.6924110815080762,COMPLETE
10,0.361,2026-02-07 11:16:09.154048,2026-02-07 11:16:14.239156,0 days 00:00:05.085108,5.2030007876502823e-05,0.7008989055287445,0.5143148248582582,0.9480421118310942,COMPLETE
11,0.354,2026-02-07 11:16:14.244016,2026-02-07 11:16:19.467764,0 days 00:00:05.223748,0.0008794556341446117,0.3749734936011276,0.5018063857450706,0.6616207124618965,COMPLETE
12,0.362,2026-02-07 11:16:19.473021,2026-02-07 11:16:24.594650,0 days 00:00:05.121629,9.177116858708925e-05,0.8655238408033075,0.6111052523189012,0.6842442936320301,COMPLETE
13,0.367,2026-02-07 11:16:24.599644,2026-02-07 11:16:29.809607,0 days 00:00:05.209963,0.0009927150740109052,0.45639617460825044,0.6124617524894801,0.6260590035250716,COMPLETE
14,0.362,2026-02-07 11:16:29.814910,2026-02-07 11:16:35.067790,0 days 00:00:05.252880,9.462095066774555e-05,0.05949340906146646,0.8136888880362502,0.7147402195679387,COMPLETE
