number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.325,2026-02-06 14:45:06.531413,2026-02-06 14:45:25.127955,0 days 00:00:18.596542,8.200169760865733e-05,0.08587569554155682,0.9519919774641186,0.76646491553789,COMPLETE
1,0.309,2026-02-06 14:45:25.130585,2026-02-06 14:45:42.021627,0 days 00:00:16.891042,6.281316014413098e-05,0.6399887428176007,0.7293019808842929,0.8548421419396561,COMPLETE
2,0.302,2026-02-06 14:45:42.023904,2026-02-06 14:45:59.667405,0 days 00:00:17.643501,4.5231480496894864e-05,0.6820120910873967,0.8450125100956136,0.8428148065827532,COMPLETE
3,0.272,2026-02-06 14:45:59.670139,2026-02-06 14:46:17.563053,0 days 00:00:17.892914,2.0944868834396326e-05,0.4455879390014279,0.8180305277235707,0.6176099339560577,COMPLETE
4,0.308,2026-02-06 14:46:17.566119,2026-02-06 14:46:33.611256,0 days 00:00:16.045137,0.000152043665335206,0.4996412953206856,0.9795833015176112,0.724488025357421,COMPLETE
5,0.324,2026-02-06 14:46:33.613610,2026-02-06 14:46:49.152512,0 days 00:00:15.538902,0.00014174322966901186,0.5965483606777267,0.7286117266769285,0.9664184936480407,COMPLETE
6,0.313,2026-02-06 14:46:49.154953,2026-02-06 14:47:07.214981,0 days 00:00:18.060028,2.083669942211692e-05,0.5361130810422018,0.9544218592063691,0.8996066711965987,COMPLETE
7,0.303,2026-02-06 14:47:07.217986,2026-02-06 14:47:23.468633,0 days 00:00:16.250647,7.047977415894477e-05,0.30789945727950024,0.6992171293098386,0.5307293464914394,COMPLETE
8,0.302,2026-02-06 14:47:23.471206,2026-02-06 14:47:38.797308,0 days 00:00:15.326102,0.0008278762880025368,0.10560609913695296,0.9245191542142555,0.5163192670078811,COMPLETE
9,0.326,2026-02-06 14:47:38.799712,2026-02-06 14:47:54.684943,0 days 00:00:15.885231,2.3467382414601336e-05,0.13965444042337347,0.6783534452012714,0.5080009663150169,COMPLETE
10,0.322,2026-02-06 14:47:54.687502,2026-02-06 14:48:11.064910,0 days 00:00:16.377408,1.20031473701287e-05,0.05056432550290275,0.5500570672086262,0.6424907607617517,COMPLETE
11,0.327,2026-02-06 14:48:11.067548,2026-02-06 14:48:28.039865,0 days 00:00:16.972317,0.00034251575152435327,0.15576163833450285,0.5930935637306525,0.7472545004140891,COMPLETE
12,0.327,2026-02-06 14:48:28.042034,2026-02-06 14:48:45.591644,0 days 00:00:17.549610,0.00039077442320232316,0.15492388121513664,0.6023277632780322,0.7280869300865398,COMPLETE
13,0.33,2026-02-06 14:48:45.595105,2026-02-06 14:49:02.705754,0 days 00:00:17.110649,0.0004012012289722827,0.20411212735147014,0.5616638782854203,0.7353651054961547,COMPLETE
14,0.349,2026-02-06 14:49:02.709183,2026-02-06 14:49:19.741306,0 days 00:00:17.032123,0.0004305636127321368,0.24814713328726662,0.5136797811662895,0.7847610800685445,COMPLETE
15,0.333,2026-02-06 14:49:19.744741,2026-02-06 14:49:38.070116,0 days 00:00:18.325375,0.000870312065272715,0.27319220120845333,0.5147974471796943,0.657859740533138,COMPLETE
16,0.305,2026-02-06 14:49:38.074860,2026-02-06 14:49:55.967846,0 days 00:00:17.892986,0.0009379862937273352,0.32489509899658187,0.501334760693471,0.6472251734900419,COMPLETE
17,0.291,2026-02-06 14:49:55.970982,2026-02-06 14:50:12.758215,0 days 00:00:16.787233,0.0006189066548836555,0.2626129810210429,0.6381627142137483,0.5893282080061982,COMPLETE
18,0.307,2026-02-06 14:50:12.761346,2026-02-06 14:50:26.872016,0 days 00:00:14.110670,0.00023153185931762242,0.8785318096031016,0.5040019390286655,0.8193141565666563,COMPLETE
19,0.322,2026-02-06 14:50:26.875042,2026-02-06 14:50:44.764710,0 days 00:00:17.889668,0.0005623127792055352,0.2289738416482523,0.7821793894717295,0.6802425401113161,COMPLETE
20,0.317,2026-02-06 14:50:44.769525,2026-02-06 14:51:03.333537,0 days 00:00:18.564012,0.00025009003446080515,0.3677564206588489,0.6387200517692162,0.7969928453562308,COMPLETE
21,0.317,2026-02-06 14:51:03.337378,2026-02-06 14:51:20.312982,0 days 00:00:16.975604,0.00045127815716756704,0.19734997986272088,0.5637962025304049,0.6933879079123559,COMPLETE
22,0.349,2026-02-06 14:51:20.315980,2026-02-06 14:51:36.744203,0 days 00:00:16.428223,0.0002541699093278335,0.19597804517276557,0.5434531287706715,0.7877972822710487,COMPLETE
23,0.341,2026-02-06 14:51:36.747085,2026-02-06 14:51:54.465259,0 days 00:00:17.718174,0.00022561400192862738,0.2574102039606928,0.5276513246934588,0.8913783243234739,COMPLETE
24,0.342,2026-02-06 14:51:54.468291,2026-02-06 14:52:11.053545,0 days 00:00:16.585254,0.00015235253606857467,0.3976300355848537,0.6231638229183951,0.9114588848237073,COMPLETE
25,0.324,2026-02-06 14:52:11.056622,2026-02-06 14:52:27.981436,0 days 00:00:16.924814,0.00012393546520581998,0.3991446373444282,0.6149808396086334,0.9634013294984494,COMPLETE
26,0.34,2026-02-06 14:52:27.984478,2026-02-06 14:52:44.091597,0 days 00:00:16.107119,0.00019185885585833705,0.11491450262295386,0.6653927443033578,0.917841483032837,COMPLETE
27,0.328,2026-02-06 14:52:44.094464,2026-02-06 14:52:59.637792,0 days 00:00:15.543328,0.0002924329433135936,0.17733533168184704,0.575117667202751,0.7937057445432562,COMPLETE
28,0.31,2026-02-06 14:52:59.640825,2026-02-06 14:53:18.041646,0 days 00:00:18.400821,0.00010277060378918793,0.3483815299250864,0.5344097683028003,0.8608790572318268,COMPLETE
29,0.338,2026-02-06 14:53:18.046273,2026-02-06 14:53:37.001735,0 days 00:00:18.955462,4.8198891477139364e-05,0.0659783872681201,0.6340189900497544,0.9356949669675194,COMPLETE
