number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.1501,2026-02-03 13:26:38.598567,2026-02-03 13:27:40.528407,0 days 00:01:01.929840,4.010488441039838e-05,0.10922075923207301,0.5657413996455638,0.5271334170063869,COMPLETE
1,0.1849,2026-02-03 13:27:40.533347,2026-02-03 13:28:41.564874,0 days 00:01:01.031527,0.00024617893654965976,0.10665954094168816,0.7280702834002398,0.8348078544183635,COMPLETE
2,0.109,2026-02-03 13:28:41.570209,2026-02-03 13:29:41.801766,0 days 00:01:00.231557,0.0003776513352984672,0.11346539180654888,0.6899634779500603,0.5887639712510825,COMPLETE
3,0.159,2026-02-03 13:29:41.807203,2026-02-03 13:30:42.722974,0 days 00:01:00.915771,0.00035876917645617464,0.058929103162450376,0.8484986208624936,0.8815607440111406,COMPLETE
4,0.1811,2026-02-03 13:30:42.727865,2026-02-03 13:31:42.901892,0 days 00:01:00.174027,3.512722195377898e-05,0.10583175950899974,0.6869065689662808,0.7879238212462306,COMPLETE
5,0.1765,2026-02-03 13:31:42.906899,2026-02-03 13:32:43.463369,0 days 00:01:00.556470,1.2280741856456172e-05,0.14604655819566054,0.5985271400928198,0.7253293830404436,COMPLETE
6,0.1059,2026-02-03 13:32:43.467737,2026-02-03 13:33:44.731862,0 days 00:01:01.264125,4.107903180178908e-05,0.5045820396203863,0.5384782234933163,0.7542292229274478,COMPLETE
7,0.1325,2026-02-03 13:33:44.735275,2026-02-03 13:34:44.281015,0 days 00:00:59.545740,1.1768601884338305e-05,0.2654261994059396,0.9797166704167126,0.8163294197834419,COMPLETE
8,0.1494,2026-02-03 13:34:44.286729,2026-02-03 13:35:47.125103,0 days 00:01:02.838374,0.0002305605615367579,0.17347717961018821,0.7550084261591251,0.7627269724046915,COMPLETE
9,0.1415,2026-02-03 13:35:47.133357,2026-02-03 13:36:45.384059,0 days 00:00:58.250702,0.0008181095184874521,0.11153951541026007,0.5644302827331601,0.6924110815080762,COMPLETE
10,0.1178,2026-02-03 13:36:45.391095,2026-02-03 13:37:45.421382,0 days 00:01:00.030287,0.00014203514262578205,0.8897736404933141,0.8529288903683834,0.9480421118310942,COMPLETE
11,0.1816,2026-02-03 13:37:45.427122,2026-02-03 13:38:45.939078,0 days 00:01:00.511956,5.774429204703671e-05,0.05307778440800286,0.6910519282254919,0.85675015721357,COMPLETE
12,0.2259,2026-02-03 13:38:45.948070,2026-02-03 13:39:45.372339,0 days 00:00:59.424269,8.54847285500532e-05,0.05407983046412341,0.7461738827408738,0.9604826822138173,COMPLETE
13,0.1486,2026-02-03 13:39:45.378186,2026-02-03 13:40:43.623307,0 days 00:00:58.245121,0.0001028516336751231,0.07143800893795892,0.8240457528244862,0.9819843347177385,COMPLETE
14,0.2168,2026-02-03 13:40:43.629372,2026-02-03 13:41:44.734515,0 days 00:01:01.105143,0.000772269960014369,0.27933672571990686,0.7674691981004285,0.8902946408339871,COMPLETE
15,0.1729,2026-02-03 13:41:44.739173,2026-02-03 13:42:41.400225,0 days 00:00:56.661052,0.0009294711840417255,0.29732307749366793,0.7900656480096323,0.9164010061912371,COMPLETE
16,0.1525,2026-02-03 13:42:41.401993,2026-02-03 13:43:40.681301,0 days 00:00:59.279308,8.59340143229614e-05,0.40240059846920256,0.932322388407525,0.9882096460971846,COMPLETE
17,0.2214,2026-02-03 13:43:40.686192,2026-02-03 13:44:39.197558,0 days 00:00:58.511366,2.138706353460094e-05,0.6037554620228583,0.6485244277029798,0.9107890152343208,COMPLETE
18,0.2033,2026-02-03 13:44:39.202275,2026-02-03 13:45:39.306458,0 days 00:01:00.104183,2.131429417212418e-05,0.8270032631108034,0.6299257697583086,0.6658204100357281,COMPLETE
19,0.1765,2026-02-03 13:45:39.307771,2026-02-03 13:46:38.275946,0 days 00:00:58.968175,2.283860372446697e-05,0.5792391379332453,0.6382704115754154,0.9337611316803951,COMPLETE
20,0.1914,2026-02-03 13:46:38.278064,2026-02-03 13:47:37.817156,0 days 00:00:59.539092,1.9734246129718214e-05,0.21238656053149166,0.9011355565019825,0.9414634171881001,COMPLETE
21,0.1754,2026-02-03 13:47:37.818891,2026-02-03 13:48:38.316416,0 days 00:01:00.497525,6.69709711621462e-05,0.3441959627815707,0.7668982884104592,0.8835857279626133,COMPLETE
22,0.2139,2026-02-03 13:48:38.321876,2026-02-03 13:49:35.885426,0 days 00:00:57.563550,0.0005330745904904451,0.611423078519403,0.7198242540193885,0.8871614587760822,COMPLETE
23,0.2246,2026-02-03 13:49:35.890630,2026-02-03 13:50:35.159838,0 days 00:00:59.269208,0.00015220353407370261,0.4390991135778597,0.6414578928925587,0.9124340609859087,COMPLETE
24,0.1869,2026-02-03 13:50:35.165301,2026-02-03 13:51:36.557342,0 days 00:01:01.392041,0.0001585843516002445,0.41618912938690344,0.6418006961972286,0.9661688152831183,COMPLETE
25,0.1992,2026-02-03 13:51:36.564868,2026-02-03 13:52:40.153082,0 days 00:01:03.588214,0.00012763872709249788,0.668605095805713,0.503865623337006,0.8196552823378639,COMPLETE
26,0.1824,2026-02-03 13:52:40.160220,2026-02-03 13:53:42.494631,0 days 00:01:02.334411,0.0001905627323520974,0.46014650619125663,0.6615291428512483,0.9166585434719753,COMPLETE
27,0.1766,2026-02-03 13:53:42.500745,2026-02-03 13:54:43.252804,0 days 00:01:00.752059,6.161254058341662e-05,0.7185633028539716,0.6207540196184826,0.8499734482643068,COMPLETE
28,0.1679,2026-02-03 13:54:43.261100,2026-02-03 13:55:44.591092,0 days 00:01:01.329992,3.0047872996322315e-05,0.07798257346049746,0.5861323342967452,0.6309441661304848,COMPLETE
29,0.2102,2026-02-03 13:55:44.601391,2026-02-03 13:56:46.067064,0 days 00:01:01.465673,7.971187889301217e-05,0.3417006813035709,0.7196523723545152,0.546838535412932,COMPLETE
