number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.333,2026-02-06 15:11:56.972377,2026-02-06 15:12:14.341114,0 days 00:00:17.368737,6.838687356454331e-05,0.061366434161646576,0.6463970157202594,0.5746538057869879,COMPLETE
1,0.319,2026-02-06 15:12:14.343481,2026-02-06 15:12:29.885643,0 days 00:00:15.542162,0.0006176917040796171,0.07307585217369153,0.8020589020104409,0.6875759489873485,COMPLETE
2,0.321,2026-02-06 15:12:29.888182,2026-02-06 15:12:47.175966,0 days 00:00:17.287784,0.00015291878457879168,0.8200041426329367,0.7734424508347111,0.6346635492351224,COMPLETE
3,0.349,2026-02-06 15:12:47.178591,2026-02-06 15:13:04.021124,0 days 00:00:16.842533,3.493860293837348e-05,0.6678049438944129,0.7033666729178741,0.7705183555790658,COMPLETE
4,0.312,2026-02-06 15:13:04.023008,2026-02-06 15:13:20.960215,0 days 00:00:16.937207,0.00010273839283439864,0.1864990065569961,0.7008567676897993,0.6217225978906558,COMPLETE
5,0.332,2026-02-06 15:13:20.961596,2026-02-06 15:13:38.957155,0 days 00:00:17.995559,0.0003170954759010495,0.12262598850215352,0.6865174319403737,0.7572355167045894,COMPLETE
6,0.333,2026-02-06 15:13:38.958327,2026-02-06 15:13:56.459160,0 days 00:00:17.500833,1.2513551691368924e-05,0.13110303825530242,0.9620793833103818,0.9225360879495921,COMPLETE
7,0.328,2026-02-06 15:13:56.461842,2026-02-06 15:14:14.514876,0 days 00:00:18.053034,4.9768205094903065e-05,0.10407837219500472,0.723067756329601,0.5512676654838123,COMPLETE
8,0.326,2026-02-06 15:14:14.516543,2026-02-06 15:14:32.927676,0 days 00:00:18.411133,0.00026366762388629325,0.42461377522113,0.8402572405714129,0.8049683699973424,COMPLETE
9,0.35,2026-02-06 15:14:32.929081,2026-02-06 15:14:49.650264,0 days 00:00:16.721183,0.0005734156292282596,0.09040762785274,0.670849057432366,0.8313588163159569,COMPLETE
10,0.348,2026-02-06 15:14:49.652145,2026-02-06 15:15:06.371171,0 days 00:00:16.719026,0.0008112687954185189,0.3083330593942148,0.566027080253331,0.9897216706237029,COMPLETE
