number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.331,2026-02-06 16:22:51.954214,2026-02-06 16:22:57.549459,0 days 00:00:05.595245,6.838687356454331e-05,0.061366434161646576,0.6463970157202594,0.5746538057869879,COMPLETE
1,0.353,2026-02-06 16:22:57.552934,2026-02-06 16:23:02.612981,0 days 00:00:05.060047,0.0006176917040796171,0.07307585217369153,0.8020589020104409,0.6875759489873485,COMPLETE
2,0.316,2026-02-06 16:23:02.614545,2026-02-06 16:23:08.098379,0 days 00:00:05.483834,0.00015291878457879168,0.8200041426329367,0.7734424508347111,0.6346635492351224,COMPLETE
3,0.319,2026-02-06 16:23:08.102827,2026-02-06 16:23:13.355596,0 days 00:00:05.252769,3.493860293837348e-05,0.6678049438944129,0.7033666729178741,0.7705183555790658,COMPLETE
4,0.327,2026-02-06 16:23:13.359203,2026-02-06 16:23:18.692197,0 days 00:00:05.332994,0.00010273839283439864,0.1864990065569961,0.7008567676897993,0.6217225978906558,COMPLETE
5,0.356,2026-02-06 16:23:18.693282,2026-02-06 16:23:24.206121,0 days 00:00:05.512839,0.0003170954759010495,0.12262598850215352,0.6865174319403737,0.7572355167045894,COMPLETE
6,0.326,2026-02-06 16:23:24.208202,2026-02-06 16:23:30.442605,0 days 00:00:06.234403,1.2513551691368924e-05,0.13110303825530242,0.9620793833103818,0.9225360879495921,COMPLETE
7,0.312,2026-02-06 16:23:30.447566,2026-02-06 16:23:39.198655,0 days 00:00:08.751089,4.9768205094903065e-05,0.10407837219500472,0.723067756329601,0.5512676654838123,COMPLETE
8,0.343,2026-02-06 16:23:39.204335,2026-02-06 16:23:45.173011,0 days 00:00:05.968676,0.00026366762388629325,0.42461377522113,0.8402572405714129,0.8049683699973424,COMPLETE
9,0.349,2026-02-06 16:23:45.176805,2026-02-06 16:23:50.322038,0 days 00:00:05.145233,0.0005734156292282596,0.09040762785274,0.670849057432366,0.8313588163159569,COMPLETE
10,0.344,2026-02-06 16:23:50.323966,2026-02-06 16:23:55.624661,0 days 00:00:05.300695,0.00022708636195510485,0.3083330593942148,0.571816603390249,0.9897216706237029,COMPLETE
11,0.331,2026-02-06 16:23:55.627471,2026-02-06 16:24:01.550657,0 days 00:00:05.923186,0.0009738425367684463,0.05353832353329035,0.8538401490992377,0.6973856962025734,COMPLETE
12,0.337,2026-02-06 16:24:01.554440,2026-02-06 16:24:07.223560,0 days 00:00:05.669120,0.00040697277603634447,0.16159083344861513,0.5243561386001053,0.6931822202780924,COMPLETE
13,0.339,2026-02-06 16:24:07.227170,2026-02-06 16:24:13.038758,0 days 00:00:05.811588,0.00076679552406035,0.0825034468775233,0.8253726429980942,0.8696263165596042,COMPLETE
14,0.34,2026-02-06 16:24:13.043906,2026-02-06 16:24:18.670133,0 days 00:00:05.626227,0.00038043158282965734,0.24825060821718142,0.937217336219171,0.7281076334953038,COMPLETE
15,0.307,2026-02-06 16:24:18.673927,2026-02-06 16:24:25.994124,0 days 00:00:07.320197,0.0001895462581739466,0.11695246933328579,0.6139000340802195,0.5102073793454436,COMPLETE
16,0.334,2026-02-06 16:24:25.998845,2026-02-06 16:24:32.108471,0 days 00:00:06.109626,0.0004758725457837876,0.0711636323029188,0.7764036488612678,0.6581684066632417,COMPLETE
17,0.362,2026-02-06 16:24:32.112260,2026-02-06 16:24:38.086690,0 days 00:00:05.974430,0.00012358980484829225,0.15199458046595637,0.7891457006296672,0.7761840038318909,COMPLETE
18,0.34,2026-02-06 16:24:38.090478,2026-02-06 16:24:45.263667,0 days 00:00:07.173189,2.2630362742682854e-05,0.2629322269268579,0.9143717355400272,0.7651014292341176,COMPLETE
19,0.354,2026-02-06 16:24:45.266434,2026-02-06 16:24:54.208171,0 days 00:00:08.941737,0.00012445445584826094,0.1543834019775499,0.9961840507751326,0.8601288150780221,COMPLETE
20,0.315,2026-02-06 16:24:54.210573,2026-02-06 16:25:02.869459,0 days 00:00:08.658886,6.036447704113864e-05,0.3715596749340356,0.8750981662027005,0.9068368542691242,COMPLETE
21,0.355,2026-02-06 16:25:02.871999,2026-02-06 16:25:11.425589,0 days 00:00:08.553590,0.00011094609107873084,0.16353614046311982,0.8998788012761303,0.8239026344472226,COMPLETE
22,0.347,2026-02-06 16:25:11.431139,2026-02-06 16:25:17.049985,0 days 00:00:05.618846,0.00029989598982641143,0.20706187579232654,0.7375818057714758,0.7999676111847267,COMPLETE
23,0.322,2026-02-06 16:25:17.053900,2026-02-06 16:25:21.838060,0 days 00:00:04.784160,9.514908184704872e-05,0.13780362987176978,0.8898614983996624,0.7325209511177143,COMPLETE
24,0.342,2026-02-06 16:25:21.841893,2026-02-06 16:25:27.203297,0 days 00:00:05.361404,0.00017443128436769143,0.11026823819411356,0.6062561218072962,0.8233793502011064,COMPLETE
25,0.345,2026-02-06 16:25:27.206900,2026-02-06 16:25:32.147309,0 days 00:00:04.940409,7.865824775445938e-05,0.17676050720886838,0.7825971805403812,0.7714705525513125,COMPLETE
26,0.343,2026-02-06 16:25:32.150690,2026-02-06 16:25:37.011611,0 days 00:00:04.860921,3.7756003216726875e-05,0.24114351746858956,0.8204010755988587,0.9024602777819405,COMPLETE
27,0.337,2026-02-06 16:25:37.015931,2026-02-06 16:25:42.775223,0 days 00:00:05.759292,0.00013106483465559777,0.09625877838889292,0.6750897506137409,0.9559528508382132,COMPLETE
28,0.357,2026-02-06 16:25:42.780547,2026-02-06 16:25:47.563612,0 days 00:00:04.783065,0.0003278415036823731,0.14014070492398195,0.7467280133581647,0.8568576269674333,COMPLETE
29,0.351,2026-02-06 16:25:47.567412,2026-02-06 16:25:55.909952,0 days 00:00:08.342540,0.0003293591555448282,0.13532532054777122,0.6476544716898927,0.8744599004998203,COMPLETE
