number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.359,2026-02-06 15:53:23.759664,2026-02-06 15:53:29.345127,0 days 00:00:05.585463,0.0005404613626296213,0.37534718880806706,0.7267713413390344,0.8538072437404705,COMPLETE
1,0.183,2026-02-06 15:53:29.347502,2026-02-06 15:53:35.586102,0 days 00:00:06.238600,5.247544485517223e-05,0.8385236724012751,0.9279016711963055,0.5057399012506509,COMPLETE
2,0.345,2026-02-06 15:53:35.587679,2026-02-06 15:53:40.839935,0 days 00:00:05.252256,1.2843280764272375e-05,0.4123890131697216,0.5858148386307203,0.7553079370400233,COMPLETE
3,0.347,2026-02-06 15:53:40.841730,2026-02-06 15:53:46.938443,0 days 00:00:06.096713,2.804460814106101e-05,0.08912922764942169,0.509260897230307,0.8889118746451361,COMPLETE
4,0.325,2026-02-06 15:53:46.942278,2026-02-06 15:53:52.425691,0 days 00:00:05.483413,1.1579181437349266e-05,0.13566895308738613,0.9640406467327954,0.845163056942531,COMPLETE
5,0.365,2026-02-06 15:53:52.430196,2026-02-06 15:54:00.061929,0 days 00:00:07.631733,2.9907880915878078e-05,0.08048335107257046,0.8107392007498817,0.7828420084160421,COMPLETE
6,0.351,2026-02-06 15:54:00.066876,2026-02-06 15:54:05.655400,0 days 00:00:05.588524,0.000151293389503169,0.7441545642178891,0.806982977982948,0.7624600734822296,COMPLETE
7,0.345,2026-02-06 15:54:05.658714,2026-02-06 15:54:11.171546,0 days 00:00:05.512832,2.6283760302962345e-05,0.4125457461408658,0.6559724977398009,0.695128320485885,COMPLETE
8,0.337,2026-02-06 15:54:11.174821,2026-02-06 15:54:16.118919,0 days 00:00:04.944098,9.570125151880811e-05,0.08564321562150168,0.9721861949919668,0.8623798895741509,COMPLETE
9,0.305,2026-02-06 15:54:16.123989,2026-02-06 15:54:24.924572,0 days 00:00:08.800583,7.393213555381204e-05,0.09648000872910821,0.6271782408851965,0.528434288558699,COMPLETE
10,0.377,2026-02-06 15:54:24.926269,2026-02-06 15:54:30.574274,0 days 00:00:05.648005,0.000332895996734281,0.055194683104955095,0.8353185329840079,0.9843084139673648,COMPLETE
11,0.359,2026-02-06 15:54:30.577449,2026-02-06 15:54:35.773300,0 days 00:00:05.195851,0.000325992225724233,0.05152571620904552,0.813635372169771,0.9868836854435659,COMPLETE
12,0.34,2026-02-06 15:54:35.775416,2026-02-06 15:54:43.044490,0 days 00:00:07.269074,0.00023821643853944578,0.05176322604245711,0.8695462191261136,0.6319408032990217,COMPLETE
13,0.355,2026-02-06 15:54:43.047636,2026-02-06 15:54:51.741160,0 days 00:00:08.693524,0.0008966994330963582,0.17259085292571702,0.7351489365529122,0.9549896273746654,COMPLETE
14,0.322,2026-02-06 15:54:51.745582,2026-02-06 15:55:00.349893,0 days 00:00:08.604311,3.817873331752828e-05,0.06207616233590115,0.8493264183875602,0.6240118185822063,COMPLETE
15,0.354,2026-02-06 15:55:00.351455,2026-02-06 15:55:06.434939,0 days 00:00:06.083484,0.00017561947545107967,0.21528362051963018,0.7739325308397241,0.9332950296142228,COMPLETE
16,0.336,2026-02-06 15:55:06.436178,2026-02-06 15:55:12.530084,0 days 00:00:06.093906,0.0004069482930305103,0.11705370310754562,0.8919591524312531,0.7979675415989786,COMPLETE
17,0.353,2026-02-06 15:55:12.531182,2026-02-06 15:55:18.925688,0 days 00:00:06.394506,0.0009521849471492084,0.0717180524831207,0.7040409331677427,0.6890823676477369,COMPLETE
18,0.344,2026-02-06 15:55:18.930583,2026-02-06 15:55:27.318622,0 days 00:00:08.388039,2.0403417084917674e-05,0.23163842746273097,0.797846889294385,0.9221986487265726,COMPLETE
19,0.341,2026-02-06 15:55:27.323263,2026-02-06 15:55:35.868903,0 days 00:00:08.545640,0.0001369598735494449,0.14163872401710595,0.8818497557285149,0.7992340006397707,COMPLETE
20,0.316,2026-02-06 15:55:35.870493,2026-02-06 15:55:44.482494,0 days 00:00:08.612001,5.5356007766635333e-05,0.06955197413911354,0.6689694459462066,0.559631096903191,COMPLETE
21,0.344,2026-02-06 15:55:44.486826,2026-02-06 15:55:52.937503,0 days 00:00:08.450677,0.0005408330508976143,0.32834091890236416,0.7390112516081138,0.8266594006622024,COMPLETE
22,0.349,2026-02-06 15:55:52.938994,2026-02-06 15:56:01.407527,0 days 00:00:08.468533,0.0005741126006731383,0.28885561914960334,0.8375549704789975,0.8975802267444462,COMPLETE
23,0.338,2026-02-06 15:56:01.409242,2026-02-06 15:56:08.081885,0 days 00:00:06.672643,0.0002654292952660665,0.5925262114583867,0.7622985061085257,0.6960370874818299,COMPLETE
24,0.345,2026-02-06 15:56:08.087014,2026-02-06 15:56:16.694883,0 days 00:00:08.607869,0.0005794432169639037,0.5129492245819728,0.7010136292546446,0.8051549541146306,COMPLETE
25,0.35,2026-02-06 15:56:16.700131,2026-02-06 15:56:25.321243,0 days 00:00:08.621112,0.00042297124953929517,0.2832728066493979,0.9174346506605565,0.9736917091301858,COMPLETE
26,0.346,2026-02-06 15:56:25.323926,2026-02-06 15:56:33.613233,0 days 00:00:08.289307,0.00020638132775077853,0.16954884910128692,0.7864782970088824,0.7359397313552564,COMPLETE
