number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.35,2026-02-06 19:34:21.114154,2026-02-06 19:34:26.340296,0 days 00:00:05.226142,2.2866903294942006e-05,0.12312856051620194,0.8481717444077297,0.6850984012533157,COMPLETE
1,0.366,2026-02-06 19:34:26.345096,2026-02-06 19:34:31.756749,0 days 00:00:05.411653,8.07967122739543e-05,0.053696815871088655,0.5336248157316243,0.8329024590142979,COMPLETE
2,0.349,2026-02-06 19:34:31.760529,2026-02-06 19:34:37.189894,0 days 00:00:05.429365,2.715150883792442e-05,0.23578877972106746,0.9483356465201711,0.9852660842243851,COMPLETE
3,0.344,2026-02-06 19:34:37.192652,2026-02-06 19:34:42.670464,0 days 00:00:05.477812,0.0003286679134316866,0.33987079033179857,0.6316611883685753,0.510118989738207,COMPLETE
4,0.357,2026-02-06 19:34:42.672832,2026-02-06 19:34:47.924730,0 days 00:00:05.251898,0.00045930049183131634,0.12608944552330253,0.691731947085949,0.7882753856412668,COMPLETE
5,0.344,2026-02-06 19:34:47.929862,2026-02-06 19:34:53.156672,0 days 00:00:05.226810,0.0003945423870668008,0.30797369157882293,0.9363253277236976,0.6340355970596615,COMPLETE
6,0.353,2026-02-06 19:34:53.157891,2026-02-06 19:34:58.413390,0 days 00:00:05.255499,2.6978348111289748e-05,0.08550543114597868,0.9763958284859723,0.8368692554300294,COMPLETE
7,0.347,2026-02-06 19:34:58.415785,2026-02-06 19:35:03.656839,0 days 00:00:05.241054,2.670692917716907e-05,0.7729978014761997,0.8654279033850789,0.6244314048715627,COMPLETE
8,0.336,2026-02-06 19:35:03.659229,2026-02-06 19:35:08.854470,0 days 00:00:05.195241,7.069210885044554e-05,0.22359037928347364,0.5128313590272657,0.6016603369661436,COMPLETE
9,0.351,2026-02-06 19:35:08.856868,2026-02-06 19:35:14.099736,0 days 00:00:05.242868,0.0001491312619632369,0.14745357039420445,0.7317877121824053,0.6360380660844186,COMPLETE
10,0.36,2026-02-06 19:35:14.101650,2026-02-06 19:35:19.348602,0 days 00:00:05.246952,1.0276408153983413e-05,0.051328965932764356,0.5001729968858499,0.9028507409072979,COMPLETE
11,0.34,2026-02-06 19:35:19.353273,2026-02-06 19:35:24.582589,0 days 00:00:05.229316,1.0184149513701934e-05,0.051669917319068094,0.5000691352544266,0.9078554464026851,COMPLETE
12,0.355,2026-02-06 19:35:24.584309,2026-02-06 19:35:30.224879,0 days 00:00:05.640570,0.00010979874019511638,0.05292192091123975,0.5957100563163783,0.8773584022093475,COMPLETE
13,0.363,2026-02-06 19:35:30.226743,2026-02-06 19:35:35.482254,0 days 00:00:05.255511,5.9324586975053927e-05,0.07365394978459341,0.5811706922837345,0.9757803728128078,COMPLETE
14,0.358,2026-02-06 19:35:35.487457,2026-02-06 19:35:40.816951,0 days 00:00:05.329494,6.809152065233918e-05,0.0770349582669145,0.5852772264784937,0.9797237835132233,COMPLETE
15,0.343,2026-02-06 19:35:40.818577,2026-02-06 19:35:46.152673,0 days 00:00:05.334096,0.00020977426910445384,0.0830388498455575,0.6432495750808209,0.7443062164809039,COMPLETE
16,0.343,2026-02-06 19:35:46.155318,2026-02-06 19:35:51.411815,0 days 00:00:05.256497,5.513345235972771e-05,0.7921375159787946,0.5626785081318278,0.8072849318208102,COMPLETE
17,0.348,2026-02-06 19:35:51.414775,2026-02-06 19:35:56.706635,0 days 00:00:05.291860,4.769147314474852e-05,0.0722130159047882,0.7826198918172046,0.9392337847144653,COMPLETE
18,0.352,2026-02-06 19:35:56.711320,2026-02-06 19:36:01.935427,0 days 00:00:05.224107,0.0009021485014584345,0.5104521192213682,0.6720352139690354,0.740668686213864,COMPLETE
19,0.361,2026-02-06 19:36:01.939985,2026-02-06 19:36:07.199738,0 days 00:00:05.259753,0.0001243234782589083,0.1498324873848933,0.5593010448153192,0.8471892005511946,COMPLETE
