number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.7514166666666666,2026-02-02 13:29:48.187885,2026-02-02 13:30:16.141330,0 days 00:00:27.953445,1.8371144479809275e-05,0.6072173817176616,0.5587659279810165,0.753515762505516,COMPLETE
1,0.7468333333333333,2026-02-02 13:30:16.143706,2026-02-02 13:30:42.665769,0 days 00:00:26.522063,2.325732021462238e-05,0.3970308487473709,0.6980298514036469,0.7770564428106694,COMPLETE
2,0.7384166666666667,2026-02-02 13:30:42.667601,2026-02-02 13:31:10.114974,0 days 00:00:27.447373,0.0007600880252137219,0.07599646896565664,0.7440281403244773,0.6742502415464783,COMPLETE
3,0.7885833333333333,2026-02-02 13:31:10.116636,2026-02-02 13:31:36.668571,0 days 00:00:26.551935,1.4684016738294656e-05,0.4567323284004475,0.8743318099252737,0.9428226724755073,COMPLETE
4,0.7695,2026-02-02 13:31:36.670135,2026-02-02 13:32:04.595816,0 days 00:00:27.925681,3.839680193908902e-05,0.24667323496567348,0.7922380344778844,0.9713488254881422,COMPLETE
5,0.6935833333333333,2026-02-02 13:32:04.597819,2026-02-02 13:32:31.108546,0 days 00:00:26.510727,0.0007228673904859642,0.10029418421458791,0.5501469711327489,0.5080505184998224,COMPLETE
6,0.73125,2026-02-02 13:32:31.110234,2026-02-02 13:32:59.263992,0 days 00:00:28.153758,0.00014887450564652176,0.3466552852233418,0.8925764560115689,0.6380477518194351,COMPLETE
7,0.7853333333333333,2026-02-02 13:32:59.265558,2026-02-02 13:33:26.623057,0 days 00:00:27.357499,0.0005662529670393954,0.060152168926135674,0.7428137979673115,0.9789726184747789,COMPLETE
8,0.7078333333333333,2026-02-02 13:33:26.624916,2026-02-02 13:33:54.998909,0 days 00:00:28.373993,0.0007918403799063068,0.1328775582450802,0.9807850772707493,0.6135337969708902,COMPLETE
9,0.7565833333333334,2026-02-02 13:33:55.001299,2026-02-02 13:34:21.800674,0 days 00:00:26.799375,0.00056050040824099,0.7597234888556482,0.8996012936761959,0.8089194890647277,COMPLETE
10,0.755,2026-02-02 13:34:21.803084,2026-02-02 13:34:49.540532,0 days 00:00:27.737448,1.043100642522671e-05,0.22755964600274536,0.9966346771245702,0.8777775910164106,COMPLETE
11,0.7975833333333333,2026-02-02 13:34:49.542309,2026-02-02 13:35:16.650869,0 days 00:00:27.108560,0.00017339568370037522,0.050497921611195665,0.6733749956448303,0.9899005685140964,COMPLETE
12,0.7738333333333334,2026-02-02 13:35:16.652576,2026-02-02 13:35:43.425664,0 days 00:00:26.773088,0.00012967928647208206,0.13917694284509263,0.6448083638768779,0.8857598929640699,COMPLETE
13,0.7833333333333333,2026-02-02 13:35:43.428132,2026-02-02 13:36:11.106461,0 days 00:00:27.678329,5.797505593556472e-05,0.3987249352047634,0.8244910444821374,0.9019380156374458,COMPLETE
14,0.7913333333333333,2026-02-02 13:36:11.109570,2026-02-02 13:36:38.304910,0 days 00:00:27.195340,0.00023347888878222863,0.050210340934960684,0.6431505886076824,0.9887169869464032,COMPLETE
15,0.7681666666666667,2026-02-02 13:36:38.307753,2026-02-02 13:37:05.526702,0 days 00:00:27.218949,0.00023846754587887906,0.055264821641095425,0.6252516161615002,0.8290039807407374,COMPLETE
16,0.78175,2026-02-02 13:37:05.529988,2026-02-02 13:37:32.671617,0 days 00:00:27.141629,0.00030946008875516073,0.08628752635781453,0.6270427344400691,0.9143962151146273,COMPLETE
17,0.7653333333333333,2026-02-02 13:37:32.676679,2026-02-02 13:37:59.662514,0 days 00:00:26.985835,6.869928878471221e-05,0.054364869046322845,0.6865031487509381,0.8566762910408501,COMPLETE
18,0.7906666666666666,2026-02-02 13:37:59.665157,2026-02-02 13:38:26.974008,0 days 00:00:27.308851,0.00025651883025678765,0.1414275379596087,0.5146427493164286,0.9871498097484961,COMPLETE
19,0.74725,2026-02-02 13:38:26.978306,2026-02-02 13:38:53.803586,0 days 00:00:26.825280,0.00039692619038429175,0.10338117289978997,0.5826419082153934,0.7046178119333892,COMPLETE
20,0.713,2026-02-02 13:38:53.806709,2026-02-02 13:39:21.084934,0 days 00:00:27.278225,0.00015510601008847166,0.07581723977790387,0.6729466442415066,0.5613151210969554,COMPLETE
21,0.7904166666666667,2026-02-02 13:39:21.088927,2026-02-02 13:39:48.846112,0 days 00:00:27.757185,0.00024488212274557264,0.1555533521706468,0.5200595103358233,0.9851554508767604,COMPLETE
22,0.7784166666666666,2026-02-02 13:39:48.849040,2026-02-02 13:40:16.255163,0 days 00:00:27.406123,8.896086812271319e-05,0.06403524927927776,0.590789245983254,0.9328921399610725,COMPLETE
23,0.76325,2026-02-02 13:40:16.257742,2026-02-02 13:40:43.466066,0 days 00:00:27.208324,0.0001933029706348348,0.17628159251513761,0.5101249289790148,0.9419368590376082,COMPLETE
24,0.8005,2026-02-02 13:40:43.468720,2026-02-02 13:41:10.469037,0 days 00:00:27.000317,0.0003806673354598704,0.05062515360623752,0.6109350953339008,0.9565619703554311,COMPLETE
25,0.7906666666666666,2026-02-02 13:41:10.471392,2026-02-02 13:41:37.867559,0 days 00:00:27.396167,0.0003998513972962349,0.050669318244356186,0.7174175169505536,0.9452039587906897,COMPLETE
26,0.774,2026-02-02 13:41:37.870398,2026-02-02 13:42:05.175834,0 days 00:00:27.305436,0.00011044886214564113,0.06870223407222133,0.6528498933479918,0.8523231182257166,COMPLETE
27,0.7523333333333333,2026-02-02 13:42:05.181776,2026-02-02 13:42:32.335817,0 days 00:00:27.154041,0.00039583114976496017,0.10365146055962547,0.6095570385488676,0.7906139919142477,COMPLETE
28,0.7825,2026-02-02 13:42:32.340934,2026-02-02 13:42:59.515794,0 days 00:00:27.174860,7.518356300959343e-05,0.08819588043140018,0.790669232162043,0.9141091807328955,COMPLETE
29,0.749,2026-02-02 13:42:59.520188,2026-02-02 13:43:27.009329,0 days 00:00:27.489141,0.00018782479080194984,0.05005293012097554,0.5551623489190315,0.7350407514371252,COMPLETE
