number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.4386,2026-02-03 22:37:35.864174,2026-02-03 22:37:59.915715,0 days 00:00:24.051541,0.00019407982792082253,0.406782031608722,0.7506621909633511,0.9684809810143797,COMPLETE
1,0.4277,2026-02-03 22:37:59.917638,2026-02-03 22:38:24.377564,0 days 00:00:24.459926,4.010048574530885e-05,0.17022509802467084,0.8031966070639622,0.5094046671715734,COMPLETE
2,0.4338,2026-02-03 22:38:24.378606,2026-02-03 22:38:48.441210,0 days 00:00:24.062604,7.20339784977015e-05,0.33702932807934294,0.645038803605222,0.8028275602094324,COMPLETE
3,0.4269,2026-02-03 22:38:48.446088,2026-02-03 22:39:13.036318,0 days 00:00:24.590230,0.00015196568166072388,0.07396510401260943,0.6491411629780154,0.7792828062436198,COMPLETE
4,0.4227,2026-02-03 22:39:13.040747,2026-02-03 22:39:37.932370,0 days 00:00:24.891623,7.291835638201717e-05,0.2629690867907301,0.8266004099285669,0.8195306023008275,COMPLETE
5,0.4241,2026-02-03 22:39:37.934114,2026-02-03 22:40:02.851429,0 days 00:00:24.917315,0.0006079203898818125,0.667390923019105,0.6837809350239483,0.7135738133801571,COMPLETE
6,0.4253,2026-02-03 22:40:02.855548,2026-02-03 22:40:27.920054,0 days 00:00:25.064506,0.0006901845408537135,0.5140000397308842,0.8519442917701832,0.5491111747830275,COMPLETE
7,0.4238,2026-02-03 22:40:27.921742,2026-02-03 22:40:52.393087,0 days 00:00:24.471345,0.0005448188369110733,0.3940374225850955,0.9994235032839333,0.5732296692824169,COMPLETE
8,0.3448,2026-02-03 22:40:52.395500,2026-02-03 22:41:16.339530,0 days 00:00:23.944030,0.0004966111413793923,0.07997291338660621,0.8077797821419221,0.5606717915962264,COMPLETE
9,0.4233,2026-02-03 22:41:16.341410,2026-02-03 22:41:40.788768,0 days 00:00:24.447358,1.375099078102485e-05,0.5156740724337275,0.7845503693072966,0.6995198156407398,COMPLETE
10,0.4323,2026-02-03 22:41:40.794617,2026-02-03 22:42:05.131853,0 days 00:00:24.337236,0.0002207657754536973,0.14398515733374695,0.5528208662096548,0.9622494154083825,COMPLETE
11,0.4377,2026-02-03 22:42:05.133298,2026-02-03 22:42:29.127106,0 days 00:00:23.993808,5.301251836629872e-05,0.28604138525963024,0.5706921889464315,0.9893476377590528,COMPLETE
12,0.4315,2026-02-03 22:42:29.129222,2026-02-03 22:42:53.943460,0 days 00:00:24.814238,2.8802877937033632e-05,0.8471892818174902,0.5067620986058142,0.987671193487074,COMPLETE
13,0.4363,2026-02-03 22:42:53.947150,2026-02-03 22:43:18.540973,0 days 00:00:24.593823,0.00023158440678530023,0.23004533898049734,0.9292179564228528,0.8950693412793764,COMPLETE
14,0.4361,2026-02-03 22:43:18.543626,2026-02-03 22:43:42.500436,0 days 00:00:23.956810,3.47910711958636e-05,0.12962191283478872,0.6989485424835171,0.9019167182462708,COMPLETE
15,0.4262,2026-02-03 22:43:42.502034,2026-02-03 22:44:07.301492,0 days 00:00:24.799458,0.00011946205351728585,0.31825122107687515,0.5894279543370933,0.9111192781432617,COMPLETE
16,0.4357,2026-02-03 22:44:07.302521,2026-02-03 22:44:31.129908,0 days 00:00:23.827387,1.530507797506644e-05,0.4795064273474607,0.7185914140870447,0.8601944290293608,COMPLETE
17,0.4229,2026-02-03 22:44:31.134195,2026-02-03 22:44:55.800900,0 days 00:00:24.666705,0.00023987642155564402,0.23543718841668818,0.8829970814092569,0.9440074559978878,COMPLETE
18,0.4252,2026-02-03 22:44:55.802574,2026-02-03 22:45:20.951788,0 days 00:00:25.149214,5.828662953643994e-05,0.10634954081178721,0.6189425880894761,0.6705947141088979,COMPLETE
