number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.62125,2026-02-02 02:19:39.152568,2026-02-02 02:20:40.266361,0 days 00:01:01.113793,1.2359890458751453e-05,0.14175974823937437,0.9143284572778689,0.9532337868570642,COMPLETE
1,0.7350833333333333,2026-02-02 02:20:40.272128,2026-02-02 02:21:41.521184,0 days 00:01:01.249056,0.0009353687477155571,0.09794454935533267,0.6742596847462816,0.8993335748914212,COMPLETE
2,0.8303333333333334,2026-02-02 02:21:41.526601,2026-02-02 02:22:42.683748,0 days 00:01:01.157147,0.0009638789298981805,0.8227985987966805,0.9524741727749635,0.6453125698813746,COMPLETE
3,0.4721666666666667,2026-02-02 02:22:42.685255,2026-02-02 02:23:43.641903,0 days 00:01:00.956648,2.929817110005398e-05,0.10281586274253778,0.5529530774411161,0.9659667794171432,COMPLETE
4,0.7696666666666667,2026-02-02 02:23:43.646698,2026-02-02 02:24:44.638818,0 days 00:01:00.992120,0.0005800166019699554,0.36712769058936495,0.5291781794902943,0.8580474585724633,COMPLETE
5,0.41,2026-02-02 02:24:44.640888,2026-02-02 02:25:45.453768,0 days 00:01:00.812880,0.0003144680409059172,0.10988857676152347,0.6895284480387143,0.6834051298272489,COMPLETE
6,0.39508333333333334,2026-02-02 02:25:45.455446,2026-02-02 02:26:46.607049,0 days 00:01:01.151603,4.063842002688845e-05,0.09942209205936962,0.5859265495238215,0.7201529078569917,COMPLETE
7,0.51375,2026-02-02 02:26:46.608998,2026-02-02 02:27:47.740958,0 days 00:01:01.131960,0.0007676569733791507,0.5654328499472177,0.6188709130078194,0.7461708341697382,COMPLETE
8,0.8829166666666667,2026-02-02 02:27:47.747240,2026-02-02 02:28:48.708825,0 days 00:01:00.961585,0.00031734358511641245,0.3124711189546804,0.9336447027312325,0.9607027477838359,COMPLETE
9,0.9255,2026-02-02 02:28:48.712113,2026-02-02 02:29:49.667662,0 days 00:01:00.955549,8.010200102980597e-05,0.37768291788848646,0.9839827833021135,0.987256386927363,COMPLETE
10,0.25416666666666665,2026-02-02 02:29:49.672972,2026-02-02 02:30:50.532084,0 days 00:01:00.859112,9.217991811454815e-05,0.058086491206171126,0.8182337760653372,0.5186174380745909,COMPLETE
11,0.6366666666666667,2026-02-02 02:30:50.537307,2026-02-02 02:31:51.508967,0 days 00:01:00.971660,0.00020244282326750668,0.29078159334710185,0.9916863544374463,0.8286886096761589,COMPLETE
12,0.88725,2026-02-02 02:31:51.514238,2026-02-02 02:32:52.710551,0 days 00:01:01.196313,0.00013773105830000942,0.221435529243454,0.8536153678749416,0.9882642044884822,COMPLETE
13,0.32575,2026-02-02 02:32:52.715620,2026-02-02 02:33:53.820300,0 days 00:01:01.104680,8.389782145660472e-05,0.20884552525154407,0.8305572232784788,0.8117162014758247,COMPLETE
14,0.498,2026-02-02 02:33:53.824834,2026-02-02 02:34:55.322464,0 days 00:01:01.497630,0.000172675563768457,0.4909457867254297,0.847533002864666,0.9040390815470888,COMPLETE
15,0.49825,2026-02-02 02:34:55.324561,2026-02-02 02:35:56.193696,0 days 00:01:00.869135,5.38630178131962e-05,0.21175363105009595,0.7620545195718227,0.9799438864738773,COMPLETE
16,0.7899166666666667,2026-02-02 02:35:56.198757,2026-02-02 02:36:57.292664,0 days 00:01:01.093907,2.1859454406023482e-05,0.4777830067403046,0.8971249005165407,0.8885083664196132,COMPLETE
17,0.39958333333333335,2026-02-02 02:36:57.297219,2026-02-02 02:37:58.497965,0 days 00:01:01.200746,0.00014050427292439018,0.1681350210151964,0.9910941831279672,0.5737316201373603,COMPLETE
18,0.35333333333333333,2026-02-02 02:37:58.500419,2026-02-02 02:39:00.012561,0 days 00:01:01.512142,5.476416421341968e-05,0.8548647745759305,0.7718085246238976,0.7874846507430834,COMPLETE
19,0.65975,2026-02-02 02:39:00.017070,2026-02-02 02:40:00.737572,0 days 00:01:00.720502,0.00034098207388557944,0.2960315336127337,0.8758064515792598,0.9243438191856246,COMPLETE
