number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.366,2026-02-07 11:42:55.003758,2026-02-07 11:42:58.200905,0 days 00:00:03.197147,2.2866903294942006e-05,0.12312856051620194,0.8481717444077297,0.6850984012533157,COMPLETE
1,0.36,2026-02-07 11:42:58.204780,2026-02-07 11:43:01.324756,0 days 00:00:03.119976,8.07967122739543e-05,0.053696815871088655,0.5336248157316243,0.8329024590142979,COMPLETE
2,0.358,2026-02-07 11:43:01.326373,2026-02-07 11:43:04.470837,0 days 00:00:03.144464,2.715150883792442e-05,0.23578877972106746,0.9483356465201711,0.9852660842243851,COMPLETE
3,0.358,2026-02-07 11:43:04.472038,2026-02-07 11:43:07.677465,0 days 00:00:03.205427,0.0003286679134316866,0.33987079033179857,0.6316611883685753,0.510118989738207,COMPLETE
4,0.374,2026-02-07 11:43:07.678983,2026-02-07 11:43:10.981571,0 days 00:00:03.302588,0.00045930049183131634,0.12608944552330253,0.691731947085949,0.7882753856412668,COMPLETE
5,0.359,2026-02-07 11:43:10.985756,2026-02-07 11:43:14.329863,0 days 00:00:03.344107,0.0003945423870668008,0.30797369157882293,0.9363253277236976,0.6340355970596615,COMPLETE
6,0.369,2026-02-07 11:43:14.333031,2026-02-07 11:43:17.558333,0 days 00:00:03.225302,2.6978348111289748e-05,0.08550543114597868,0.9763958284859723,0.8368692554300294,COMPLETE
7,0.349,2026-02-07 11:43:17.559785,2026-02-07 11:43:21.051834,0 days 00:00:03.492049,2.670692917716907e-05,0.7729978014761997,0.8654279033850789,0.6244314048715627,COMPLETE
8,0.355,2026-02-07 11:43:21.053521,2026-02-07 11:43:24.316602,0 days 00:00:03.263081,7.069210885044554e-05,0.22359037928347364,0.5128313590272657,0.6016603369661436,COMPLETE
9,0.351,2026-02-07 11:43:24.321954,2026-02-07 11:43:27.463348,0 days 00:00:03.141394,0.0001491312619632369,0.14745357039420445,0.7317877121824053,0.6360380660844186,COMPLETE
10,0.352,2026-02-07 11:43:27.468767,2026-02-07 11:43:30.718603,0 days 00:00:03.249836,0.0007439389666461774,0.6616125035965554,0.709877942860982,0.8007705014875411,COMPLETE
11,0.361,2026-02-07 11:43:30.723726,2026-02-07 11:43:33.985225,0 days 00:00:03.261499,1.0243800257670618e-05,0.07950570778718873,0.6370415700684267,0.9078554464026851,COMPLETE
12,0.363,2026-02-07 11:43:33.989400,2026-02-07 11:43:37.108567,0 days 00:00:03.119167,0.0001589900503952811,0.08611264502314253,0.8215737031362467,0.7837963370279297,COMPLETE
13,0.367,2026-02-07 11:43:37.113161,2026-02-07 11:43:40.235699,0 days 00:00:03.122538,4.2769491498489874e-05,0.050326477506281705,0.992755005355724,0.8566768518825005,COMPLETE
14,0.349,2026-02-07 11:43:40.239828,2026-02-07 11:43:43.356560,0 days 00:00:03.116732,0.0009145595933538874,0.12785618081428773,0.7889892057699234,0.7207486918600782,COMPLETE
15,0.37,2026-02-07 11:43:43.358580,2026-02-07 11:43:46.490582,0 days 00:00:03.132002,0.0002786834323115019,0.08246452918503892,0.6677680543740001,0.9454398183248488,COMPLETE
16,0.376,2026-02-07 11:43:46.492939,2026-02-07 11:43:49.885027,0 days 00:00:03.392088,0.0003532478606486054,0.1588597912421794,0.6490994715187577,0.976762907456512,COMPLETE
17,0.37,2026-02-07 11:43:49.886839,2026-02-07 11:43:53.031569,0 days 00:00:03.144730,0.0005433730883262359,0.4046490991298753,0.5773928327917613,0.9144278977398613,COMPLETE
18,0.366,2026-02-07 11:43:53.035984,2026-02-07 11:43:56.125172,0 days 00:00:03.089188,0.00022762384015638434,0.16836408437431047,0.5942108192620468,0.7292080409798206,COMPLETE
19,0.346,2026-02-07 11:43:56.127619,2026-02-07 11:43:59.263450,0 days 00:00:03.135831,0.0005385991478464637,0.529843426988793,0.6926498750618015,0.9872459061962587,COMPLETE
20,0.372,2026-02-07 11:43:59.266242,2026-02-07 11:44:02.409531,0 days 00:00:03.143289,0.00015702146466653794,0.18001429174935704,0.7836290682817548,0.8824124814205575,COMPLETE
21,0.36,2026-02-07 11:44:02.414453,2026-02-07 11:44:05.538518,0 days 00:00:03.124065,0.00016955843940953872,0.1814781256113897,0.7685008195356403,0.8603064760786392,COMPLETE
22,0.373,2026-02-07 11:44:05.541329,2026-02-07 11:44:08.649856,0 days 00:00:03.108527,0.000456552223486574,0.10868868647017897,0.7463738654966011,0.9299337255465241,COMPLETE
23,0.361,2026-02-07 11:44:08.654187,2026-02-07 11:44:11.781890,0 days 00:00:03.127703,0.0004774996057301714,0.10640141780614916,0.6706525571927999,0.9435609979141621,COMPLETE
24,0.348,2026-02-07 11:44:11.784608,2026-02-07 11:44:14.946313,0 days 00:00:03.161705,0.0009330546641620896,0.06557211155106589,0.7443571459326348,0.7763292375437236,COMPLETE
25,0.367,2026-02-07 11:44:14.947749,2026-02-07 11:44:18.393123,0 days 00:00:03.445374,0.0002194756427968449,0.10404078171671724,0.6018690346580209,0.9335705001018133,COMPLETE
26,0.381,2026-02-07 11:44:18.394799,2026-02-07 11:44:21.572669,0 days 00:00:03.177870,0.0006470109455475645,0.2735862009280577,0.709442784798991,0.9729356299962988,COMPLETE
27,0.346,2026-02-07 11:44:21.577928,2026-02-07 11:44:24.750824,0 days 00:00:03.172896,0.0006898958412432457,0.27356220078043963,0.6456836878331379,0.5329795417878245,COMPLETE
28,0.366,2026-02-07 11:44:24.754470,2026-02-07 11:44:27.935422,0 days 00:00:03.180952,0.00033135524376126234,0.38096110296306,0.5601267825306181,0.9772337284039974,COMPLETE
29,0.378,2026-02-07 11:44:27.940478,2026-02-07 11:44:31.112726,0 days 00:00:03.172248,0.0006524322095300546,0.13777123716709533,0.8611391082554238,0.8911842097657454,COMPLETE
